lon,lat,depth,mrr,mtt,mff,mrt,mrf,mtf,exponent
-126.22,41.46,15,0.06,-1.31,1.25,0.02,0.16,0.42,26
-124.94,40.11,15,0.05,-0.35,0.3,0.22,0.57,-1.91,24
-124.36,41.14,15,0.06,-1.01,0.95,0.4,0.32,0.18,27
-125.57,40.41,15,0.42,-0.48,0.06,0.0,0.0,-1.85,24
-125.38,41.28,15,-0.24,-1.95,2.19,0.0,0.0,0.66,24
-126.16,40.37,15,0.46,-0.51,0.05,0.62,-0.23,-1.99,24
-125.34,40.1,35,0.8,-0.94,0.14,0.51,-0.75,-1.67,25
-124.82,41.1,10,1.8,-2.64,0.84,-2.3,5.84,-5.61,24
-124.84,40.21,10,-1.52,-4.2,5.72,8.8,4.85,-7.33,23
-127.12,40.86,10,-0.87,0.25,0.61,-1.07,4.14,-9.11,25
-124.19,40.28,18,0.43,-1.4,0.97,0.0,0.0,0.06,25
-124.94,40.06,15,0.46,-2.12,1.65,0.0,0.0,-0.53,24
-125.56,41.23,15,0.12,-2.86,2.74,-0.71,1.02,-0.66,25
-124.38,40.02,15,1.2,-0.47,-0.72,-0.08,-1.55,0.46,25
-125.63,41.71,15,0.1,-3.95,3.85,1.2,1.73,0.01,26
-124.1,40.25,15,0.68,-1.96,1.27,0.0,0.0,-0.91,24
-124.31,40.25,15,2.21,-0.79,-1.42,0.62,-6.39,0.45,26
-124.61,40.37,15,2.4,-6.56,4.16,-0.7,-0.81,-2.29,25
-124.69,40.42,15,0.97,-9.64,8.67,3.22,-2.22,-0.88,25
-126.58,40.54,15,-0.02,-1.17,1.19,0.49,-0.25,-0.48,24
-125.78,40.59,15,-0.2,-0.61,0.82,-0.41,1.75,-3.39,26
-124.62,40.94,15,-0.1,-1.39,1.49,-0.07,-0.52,1.41,24
-125.74,40.43,15,-0.05,-8.98,9.04,2.23,2.1,-2.91,25
-126.03,41.81,15,0.13,-3.79,3.66,0.94,0.47,1.3,24
-126.36,40.42,15,-0.28,-0.08,0.36,0.0,-0.32,-2.0,24
-124.75,40.33,18,0.88,-1.67,0.8,0.16,-1.57,-3.55,24
-126.48,40.43,15,-0.29,0.03,0.26,-0.0,0.39,-1.11,24
-126.2,41.56,15,0.14,-1.06,0.91,0.38,0.84,0.41,24
-125.33,40.96,15,0.15,-2.74,2.59,0.31,0.67,0.29,24
-125.21,41.1,15,0.15,-1.14,0.99,0.21,0.68,0.34,24
-122.77,40.04,15,-0.06,-0.3,0.36,0.32,1.24,-0.5,24
-125.12,40.53,15,0.06,-2.25,2.19,-0.18,0.73,-0.33,24
-125.24,40.41,15,0.57,-1.76,1.18,0.01,0.32,-7.6,24
-125.25,40.81,15,-0.09,-2.37,2.46,0.49,0.33,-0.35,24
-126.42,41.15,20,0.01,-0.83,0.81,0.03,0.11,0.05,27
-126.76,40.64,16,-0.01,-0.77,0.78,0.09,0.14,-0.82,26
-124.9,40.63,16,-0.14,-1.37,1.51,0.14,0.07,0.93,24
-125.01,40.34,19,-0.17,-0.24,0.41,-0.22,-0.3,-1.25,24
-123.62,40.83,28,-1.1,-0.22,1.32,-0.4,-0.42,-0.13,24
-127.04,40.35,23,-0.14,0.06,0.08,-0.09,0.1,-1.02,25
-124.81,40.53,19,-0.03,-0.69,0.73,0.04,-0.06,0.21,26
-125.08,40.37,19,-0.04,-0.82,0.86,0.16,-0.01,-0.31,25
-123.79,41.16,29,-2.71,0.12,2.59,1.44,-0.52,1.55,24
-125.38,40.41,19,-0.35,-0.03,0.38,0.05,0.03,-1.49,24
-127.18,41.67,17,-2.38,0.27,2.1,-0.97,-0.49,0.39,24
-125.23,40.8,15,-0.06,-2.84,2.9,0.21,-0.08,0.48,26
-125.68,40.45,23,-0.19,-0.22,0.41,-0.03,0.19,-1.34,24
-124.31,40.31,30,0.24,-2.58,2.35,0.26,-0.91,-4.74,24
-127.28,40.51,18,-0.93,0.51,0.43,-0.06,-0.61,-1.52,24
-125.65,40.47,23,-0.48,-0.31,0.78,0.01,-0.04,-3.9,24
-126.46,40.46,21,-0.13,-0.01,0.14,0.04,0.27,-1.11,26
-127.22,40.47,19,-0.53,0.59,-0.05,0.32,1.36,-5.34,24
-126.55,40.49,15,-0.48,-0.17,0.65,0.97,2.77,-6.19,24
-127.14,41.88,12,-2.58,-0.04,2.63,-0.16,-0.9,0.04,24
-124.29,40.25,15,-0.16,-2.6,2.75,0.28,1.46,-2.28,24
-125.89,41.9,15,-0.11,-1.12,1.23,-0.46,-0.09,0.32,24
-125.16,40.44,21,-0.09,-1.68,1.77,0.45,-0.14,-7.92,24
-124.41,40.36,29,0.18,-2.07,1.89,0.03,-0.75,-1.51,25
-124.25,40.62,17,0.17,-2.82,2.65,-0.25,-0.37,3.4,25
-124.01,40.47,26,0.11,-1.59,1.48,-0.3,-0.35,-0.77,24
-125.35,40.48,19,-0.78,0.07,0.71,-0.91,-0.74,-3.82,24
