id,lat,lon,E,N,U
BCUT,40.8279991,-124.083,-0.348034889,1.19856882,1.43723977
P058,40.8759995,-124.074997,-0.332261264,1.08566654,1.27615511
P157,40.2480011,-124.307999,-0.609749734,2.85240221,-2.12729001
P158,40.4220009,-124.107002,-0.0493515469,1.32203591,1.90555036
P159,40.5050011,-124.282997,-0.0417274572,2.86378646,4.25649166
P160,40.5509987,-124.133003,-0.239138559,1.72883892,2.52085447
P161,40.637001,-124.212997,-0.356988639,2.17863894,2.82265043
P162,40.6910019,-124.237,-0.404332846,2.14662552,2.60116935
P163,40.2200012,-124.056999,0.0365932137,1.07237577,-0.666334689
P164,40.1189995,-123.693001,0.0764851645,0.497660369,-0.28052035
P165,40.2449989,-123.852997,0.0187949352,0.600278318,-0.0595118329
P166,40.4350014,-123.862999,-0.125624135,0.659324765,0.845705926
P167,40.5439987,-123.879997,-0.204649165,0.799853861,1.18265164
P168,40.6689987,-123.882004,-0.263733774,0.869201183,1.23946226
P169,40.7910004,-123.968002,-0.311873138,1.00373483,1.29353738
P170,40.8800011,-123.862999,-0.268403918,0.755603731,0.964233577
P315,39.8639984,-123.717003,0.170269981,0.60924983,-0.543397129
P317,39.9059982,-123.552002,0.120848872,0.441464156,-0.366842598
P321,39.8969994,-123.394997,0.0931135863,0.339713931,-0.26342085
P324,40.257,-123.655998,-0.00238519185,0.41508615,0.0571050197
P325,41.1520004,-123.883003,-0.20670867,0.536486328,0.618291438
P326,40.5750008,-123.698997,-0.17468901,0.542077363,0.779746592
P327,40.4790001,-123.572998,-0.110150464,0.39173159,0.477722257
P329,40.0820007,-123.452003,0.0550309755,0.333573163,-0.157962829
P331,40.7330017,-123.323997,-0.13099052,0.308146685,0.443445891
P343,40.887001,-123.334,-0.14469932,0.324056566,0.461243898
P793,40.4790001,-123.572998,-0.110150464,0.39173159,0.477722257
TRND,41.0540009,-124.151001,-0.267169386,0.796808124,0.875522912
