time,Moment_Rate
0,0
0.5,8.44903e+16
1,2.83982e+17
1.5,2.44456e+17
2,3.8949e+17
2.5,5.8271e+17
3,9.66477e+17
3.5,1.05813e+18
4,1.34526e+18
4.5,1.61238e+18
5,2.23522e+18
5.5,3.28635e+18
6,3.8635e+18
6.5,3.92347e+18
7,4.91083e+18
7.5,4.77685e+18
8,4.25411e+18
8.5,3.8889e+18
9,4.23178e+18
9.5,3.80018e+18
10,3.84301e+18
10.5,4.32232e+18
11,3.6571e+18
11.5,2.702e+18
12,2.00321e+18
12.5,1.65752e+18
13,2.03222e+18
13.5,2.1821e+18
14,1.79861e+18
14.5,1.46565e+18
15,1.93696e+18
15.5,1.86027e+18
16,1.38088e+18
16.5,9.52039e+17
17,6.85858e+17
17.5,5.2092e+17
18,4.46249e+17
18.5,3.55585e+17
19,2.41606e+17
19.5,1.5277e+17
20,1.09366e+17
20.5,7.70687e+16
21,6.3068e+16
21.5,5.91324e+16
22,6.71481e+16
22.5,7.48592e+16
23,7.21713e+16
23.5,6.35782e+16
24,5.97573e+16
24.5,7.18568e+16
25,8.01886e+16
25.5,7.81617e+16
26,7.25111e+16
26.5,1.09525e+17
27,2.28815e+17
27.5,3.93246e+17
28,4.91299e+17
28.5,6.2697e+17
29,7.04301e+17
29.5,6.34594e+17
30,5.1918e+17
30.5,4.19772e+17
31,3.34893e+17
31.5,2.56621e+17
32,1.8159e+17
32.5,1.15053e+17
33,7.91667e+16
33.5,4.99713e+16
34,3.19511e+16
34.5,1.91849e+16
35,1.19003e+16
35.5,7.03347e+15
36,3.17129e+15
36.5,1.92809e+15
37,1.04847e+15
37.5,1.32612e+14
38,0
38.5,0
